Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
1,Dance Monkey,Tones And I,50183626,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,01.02.20,01.02.20_001,20,1,2,2020,20200102
2,ROXANNE,Arizona Zervas,33254585,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,01.02.20,01.02.20_002,20,1,2,2020,20200102
3,Tusa,KAROL G,29349573,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,01.02.20,01.02.20_003,20,1,2,2020,20200102
4,Memories,Maroon 5,26067853,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,01.02.20,01.02.20_004,20,1,2,2020,20200102
5,Falling,Trevor Daniel,25901488,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,01.02.20,01.02.20_005,20,1,2,2020,20200102
6,Circles,Post Malone,25481417,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,01.02.20,01.02.20_006,20,1,2,2020,20200102
7,Don't Start Now,Dua Lipa,25355075,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,01.02.20,01.02.20_007,20,1,2,2020,20200102
8,Blinding Lights,The Weeknd,24279792,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,01.02.20,01.02.20_008,20,1,2,2020,20200102
9,Señorita,Shawn Mendes,22341642,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,01.02.20,01.02.20_009,20,1,2,2020,20200102
10,everything i wanted,Billie Eilish,21828884,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,01.02.20,01.02.20_010,20,1,2,2020,20200102
11,RITMO (Bad Boys For Life),Black Eyed Peas,21495411,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,01.02.20,01.02.20_011,20,1,2,2020,20200102
12,Someone You Loved,Lewis Capaldi,19926066,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,01.02.20,01.02.20_012,20,1,2,2020,20200102
13,The Box,Roddy Ricch,19692658,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,01.02.20,01.02.20_013,20,1,2,2020,20200102
14,bad guy,Billie Eilish,19126747,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,01.02.20,01.02.20_014,20,1,2,2020,20200102
15,Adore You,Harry Styles,17625649,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,01.02.20,01.02.20_015,20,1,2,2020,20200102
16,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,16492946,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,01.02.20,01.02.20_016,20,1,2,2020,20200102
17,My Oh My (feat. DaBaby),Camila Cabello,16413012,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,01.02.20,01.02.20_017,20,1,2,2020,20200102
18,Lose You To Love Me,Selena Gomez,15874364,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,01.02.20,01.02.20_018,20,1,2,2020,20200102
19,hot girl bummer,blackbear,15465132,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,01.02.20,01.02.20_019,20,1,2,2020,20200102
20,Vete,Bad Bunny,15413004,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,01.02.20,01.02.20_020,20,1,2,2020,20200102
21,Ride It,Regard,15031525,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,01.02.20,01.02.20_021,20,1,2,2020,20200102
22,Watermelon Sugar,Harry Styles,14548153,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,01.02.20,01.02.20_022,20,1,2,2020,20200102
23,HIGHEST IN THE ROOM,Travis Scott,13722175,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,01.02.20,01.02.20_023,20,1,2,2020,20200102
24,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13525959,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,01.02.20,01.02.20_024,20,1,2,2020,20200102
25,China,Anuel AA,13153651,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,01.02.20,01.02.20_025,20,1,2,2020,20200102
26,BOP,DaBaby,13108721,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,01.02.20,01.02.20_026,20,1,2,2020,20200102
27,OUT WEST (feat. Young Thug),JACKBOYS,13014508,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,01.02.20,01.02.20_027,20,1,2,2020,20200102
28,I Don't Care (with Justin Bieber),Ed Sheeran,12885850,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,01.02.20,01.02.20_028,20,1,2,2020,20200102
29,Heartless,The Weeknd,12781406,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,01.02.20,01.02.20_029,20,1,2,2020,20200102
30,Beautiful People (feat. Khalid),Ed Sheeran,12673326,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,01.02.20,01.02.20_030,20,1,2,2020,20200102
31,Lucid Dreams,Juice WRLD,12337982,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,01.02.20,01.02.20_031,20,1,2,2020,20200102
32,No Idea,Don Toliver,12330887,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,01.02.20,01.02.20_032,20,1,2,2020,20200102
33,Bandit (with YoungBoy Never Broke Again),Juice WRLD,12112872,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,01.02.20,01.02.20_033,20,1,2,2020,20200102
34,Fantasias,Rauw Alejandro,11929120,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,01.02.20,01.02.20_034,20,1,2,2020,20200102
35,Before You Go,Lewis Capaldi,11851834,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,01.02.20,01.02.20_035,20,1,2,2020,20200102
36,GANG GANG,JACKBOYS,11484613,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,01.02.20,01.02.20_036,20,1,2,2020,20200102
37,Futsal Shuffle 2020,Lil Uzi Vert,11472876,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,01.02.20,01.02.20_037,20,1,2,2020,20200102
38,WHAT TO DO? (feat. Don Toliver),JACKBOYS,10980949,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,01.02.20,01.02.20_038,20,1,2,2020,20200102
39,Had Enough (feat. Quavo & Offset),Don Toliver,10967607,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,01.02.20,01.02.20_039,20,1,2,2020,20200102
40,Lose Control,MEDUZA,10632666,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,01.02.20,01.02.20_040,20,1,2,2020,20200102
41,7 rings,Ariana Grande,10570155,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,01.02.20,01.02.20_041,20,1,2,2020,20200102
42,How Do You Sleep?,Sam Smith,10544297,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,01.02.20,01.02.20_042,20,1,2,2020,20200102
43,LA CANCIÓN,J Balvin,10501991,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,01.02.20,01.02.20_043,20,1,2,2020,20200102
44,Old Town Road - Remix,Lil Nas X,10483714,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,01.02.20,01.02.20_044,20,1,2,2020,20200102
45,"10,000 Hours (with Justin Bieber)",Dan + Shay,10360035,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,01.02.20,01.02.20_045,20,1,2,2020,20200102
46,Lalala,Y2K,10215601,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,01.02.20,01.02.20_046,20,1,2,2020,20200102
47,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,10019267,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,01.02.20,01.02.20_047,20,1,2,2020,20200102
48,Hola - Remix,Dalex,9966686,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,01.02.20,01.02.20_048,20,1,2,2020,20200102
49,Ayy Macarena,Tyga,9810547,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,01.02.20,01.02.20_049,20,1,2,2020,20200102
50,Callaita,Bad Bunny,9768682,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,01.02.20,01.02.20_050,20,1,2,2020,20200102
51,Sigues Con El,Dímelo Flow,9509134,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,01.02.20,01.02.20_051,20,1,2,2020,20200102
52,Suicidal,YNW Melly,9498868,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,01.02.20,01.02.20_052,20,1,2,2020,20200102
53,Whine Up,Nicky Jam,9384022,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,01.02.20,01.02.20_053,20,1,2,2020,20200102
54,Psycho,Red Velvet,9132322,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,01.02.20,01.02.20_054,20,1,2,2020,20200102
55,No Me Conoce - Remix,Jhay Cortez,9079621,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,01.02.20,01.02.20_055,20,1,2,2020,20200102
56,Ransom,Lil Tecca,9048763,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,01.02.20,01.02.20_056,20,1,2,2020,20200102
57,Ballin' (with Roddy Ricch),Mustard,8987983,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,01.02.20,01.02.20_057,20,1,2,2020,20200102
58,Goodbyes (Feat. Young Thug),Post Malone,8942304,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,01.02.20,01.02.20_058,20,1,2,2020,20200102
59,Trampoline,SHAED,8896030,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,01.02.20,01.02.20_059,20,1,2,2020,20200102
60,Que Tire Pa Lante,Daddy Yankee,8685806,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,01.02.20,01.02.20_060,20,1,2,2020,20200102
61,Adicto (with Anuel AA & Ozuna),Tainy,8685590,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,01.02.20,01.02.20_061,20,1,2,2020,20200102
62,Falling,Harry Styles,8657010,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,01.02.20,01.02.20_062,20,1,2,2020,20200102
63,Shallow,Lady Gaga,8610933,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,01.02.20,01.02.20_063,20,1,2,2020,20200102
64,when the party's over,Billie Eilish,8571275,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,01.02.20,01.02.20_064,20,1,2,2020,20200102
65,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,8343580,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,01.02.20,01.02.20_065,20,1,2,2020,20200102
66,Happier,Marshmello,8323023,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,01.02.20,01.02.20_066,20,1,2,2020,20200102
67,lovely (with Khalid),Billie Eilish,8225411,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,01.02.20,01.02.20_067,20,1,2,2020,20200102
68,Lights Up,Harry Styles,8182978,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,01.02.20,01.02.20_068,20,1,2,2020,20200102
69,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,8022267,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,01.02.20,01.02.20_069,20,1,2,2020,20200102
70,Yellow Hearts,Ant Saunders,7816424,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,01.02.20,01.02.20_070,20,1,2,2020,20200102
71,Roses - Imanbek Remix,SAINt JHN,7718200,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,01.02.20,01.02.20_071,20,1,2,2020,20200102
