Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
1,The Box,Roddy Ricch,12533419,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,01.02.20,01.02.20_001,20,01,02,2020,20200102
2,ROXANNE,Arizona Zervas,9844160,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,01.02.20,01.02.20_002,20,01,02,2020,20200102
3,Circles,Post Malone,7932216,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,01.02.20,01.02.20_003,20,01,02,2020,20200102
4,BOP,DaBaby,7560429,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,01.02.20,01.02.20_004,20,01,02,2020,20200102
5,Falling,Trevor Daniel,7197448,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,01.02.20,01.02.20_005,20,01,02,2020,20200102
6,OUT WEST (feat. Young Thug),JACKBOYS,6996820,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,01.02.20,01.02.20_006,20,01,02,2020,20200102
7,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6851628,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,01.02.20,01.02.20_007,20,01,02,2020,20200102
8,Futsal Shuffle 2020,Lil Uzi Vert,6669212,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,01.02.20,01.02.20_008,20,01,02,2020,20200102
9,Dance Monkey,Tones And I,6520438,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,01.02.20,01.02.20_009,20,01,02,2020,20200102
10,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,5970245,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,01.02.20,01.02.20_010,20,01,02,2020,20200102
11,everything i wanted,Billie Eilish,5755926,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,01.02.20,01.02.20_011,20,01,02,2020,20200102
12,Adore You,Harry Styles,5638884,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,01.02.20,01.02.20_012,20,01,02,2020,20200102
