Position,Track Name,Artist,Streams,URL,Date
1,Dance Monkey,Tones And I,48870726,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,01.30.20
2,The Box,Roddy Ricch,46753969,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,01.30.20
3,Blinding Lights,The Weeknd,37841717,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,01.30.20
4,Tusa,KAROL G,37220495,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,01.30.20
5,Godzilla (feat. Juice WRLD),Eminem,36136822,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,01.30.20
6,Yummy,Justin Bieber,31623733,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,01.30.20
7,Life Is Good (feat. Drake),Future,30860993,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,01.30.20
8,ROXANNE,Arizona Zervas,30372434,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,01.30.20
9,Falling,Trevor Daniel,29014454,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,01.30.20
10,Don't Start Now,Dua Lipa,28864493,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,01.30.20
11,everything i wanted,Billie Eilish,26396743,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,01.30.20
12,Memories,Maroon 5,23697458,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,01.30.20
13,bad guy,Billie Eilish,23376715,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,01.30.20
14,Circles,Post Malone,23186017,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,01.30.20
15,Someone You Loved,Lewis Capaldi,20588918,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,01.30.20
16,RITMO (Bad Boys For Life),Black Eyed Peas,20146475,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,01.30.20
17,Señorita,Shawn Mendes,18771205,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,01.30.20
18,You should be sad,Halsey,17978413,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,01.30.20
19,Lose You To Love Me,Selena Gomez,16174781,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,01.30.20
20,Adore You,Harry Styles,15683713,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,01.30.20
21,My Oh My (feat. DaBaby),Camila Cabello,15679609,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,01.30.20
22,Sigues Con El,Dímelo Flow,15565311,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,01.30.20
23,Suicidal,YNW Melly,14973919,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,01.30.20
24,Before You Go,Lewis Capaldi,14863720,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,01.30.20
25,Rare,Selena Gomez,14781411,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19,01.30.20
26,Vete,Bad Bunny,14434579,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,01.30.20
27,Good News,Mac Miller,14060319,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY,01.30.20
28,What A Man Gotta Do,Jonas Brothers,13982385,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd,01.30.20
29,What If I Told You That I Love You,Ali Gatie,13658542,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi,01.30.20
30,Ride It,Regard,13630726,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,01.30.20
31,BOP,DaBaby,13620687,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,01.30.20
32,Say So,Doja Cat,13428847,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,01.30.20
33,Hola - Remix,Dalex,12805722,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,01.30.20
34,Lose Control,MEDUZA,12583387,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,01.30.20
35,hot girl bummer,blackbear,12540620,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,01.30.20
36,Fantasias,Rauw Alejandro,12396038,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,01.30.20
37,No Idea,Don Toliver,12247577,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,01.30.20
38,Morado,J Balvin,12128351,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks,01.30.20
39,SUGAR,BROCKHAMPTON,12092669,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,01.30.20
40,Watermelon Sugar,Harry Styles,11924877,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,01.30.20
41,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,11759219,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,01.30.20
42,when the party's over,Billie Eilish,11703237,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,01.30.20
43,I Don't Care (with Justin Bieber),Ed Sheeran,11614436,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,01.30.20
44,Ballin' (with Roddy Ricch),Mustard,11573610,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,01.30.20
45,HIGHEST IN THE ROOM,Travis Scott,11515487,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,01.30.20
46,Ayy Macarena,Tyga,11388713,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,01.30.20
47,China,Anuel AA,11147753,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,01.30.20
48,Black Swan,BTS,11138985,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b,01.30.20
49,Bandit (with YoungBoy Never Broke Again),Juice WRLD,11089138,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,01.30.20
50,Roses - Imanbek Remix,SAINt JHN,10801380,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,01.30.20
51,Muévelo,Nicky Jam,10748866,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ,01.30.20
52,Me Gusta,Shakira,10557732,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a,01.30.20
53,Beautiful People (feat. Khalid),Ed Sheeran,10221539,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,01.30.20
54,lovely (with Khalid),Billie Eilish,10208670,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,01.30.20
55,High Fashion (feat. Mustard),Roddy Ricch,10068077,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,01.30.20
56,Lucid Dreams,Juice WRLD,10016489,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,01.30.20
57,"10,000 Hours (with Justin Bieber)",Dan + Shay,9704898,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,01.30.20
58,If the World Was Ending - feat. Julia Michaels,JP Saxe,9450324,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,01.30.20
59,Whine Up,Nicky Jam,9283635,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,01.30.20
60,7 rings,Ariana Grande,8930240,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,01.30.20
61,Lalala,Y2K,8883262,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,01.30.20
62,Those Kinda Nights (feat. Ed Sheeran),Eminem,8792427,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH,01.30.20
63,No Me Conoce - Remix,Jhay Cortez,8785272,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,01.30.20
64,LA CANCIÓN,J Balvin,8770582,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,01.30.20
65,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,8695982,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,01.30.20
66,Futsal Shuffle 2020,Lil Uzi Vert,8669510,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,01.30.20
67,Eleven,Khalid,8656151,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74,01.30.20
68,Callaita,Bad Bunny,8426910,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,01.30.20
69,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,8400874,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,01.30.20
70,Adicto (with Anuel AA & Ozuna),Tainy,8342011,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,01.30.20
71,Heartless,The Weeknd,8152099,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,01.30.20
72,Shallow,Lady Gaga,8117633,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,01.30.20
73,Old Town Road - Remix,Lil Nas X,8097306,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,01.30.20
74,Trampoline (with ZAYN),SHAED,8077007,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI,01.30.20
75,Goodbyes (Feat. Young Thug),Post Malone,8026103,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,01.30.20
76,It's You,Ali Gatie,7992128,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,01.30.20
77,VIBEZ,DaBaby,7907321,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,01.30.20
78,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,7794095,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,01.30.20
