Unnamed: 0,Unnamed: 1,Unnamed: 2,,,,
Position,Track Name,Artist,Streams,URL,Date,Unique ID
001,The Box,Roddy Ricch,12533419,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,01.02.20,01.02.20_001
002,ROXANNE,Arizona Zervas,9844160,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,01.02.20,01.02.20_002
003,Circles,Post Malone,7932216,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,01.02.20,01.02.20_003
004,BOP,DaBaby,7560429,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,01.02.20,01.02.20_004
005,Falling,Trevor Daniel,7197448,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,01.02.20,01.02.20_005
006,OUT WEST (feat. Young Thug),JACKBOYS,6996820,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,01.02.20,01.02.20_006
007,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6851628,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,01.02.20,01.02.20_007
008,Futsal Shuffle 2020,Lil Uzi Vert,6669212,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,01.02.20,01.02.20_008
009,Dance Monkey,Tones And I,6520438,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,01.02.20,01.02.20_009
010,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,5970245,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,01.02.20,01.02.20_010
011,everything i wanted,Billie Eilish,5755926,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,01.02.20,01.02.20_011
012,Adore You,Harry Styles,5638884,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,01.02.20,01.02.20_012
013,Ballin' (with Roddy Ricch),Mustard,5527310,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,01.02.20,01.02.20_013
014,Suicidal,YNW Melly,5522267,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,01.02.20,01.02.20_014
015,Had Enough (feat. Quavo & Offset),Don Toliver,5420011,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,01.02.20,01.02.20_015
016,Blinding Lights,The Weeknd,5144586,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,01.02.20,01.02.20_016
017,My Oh My (feat. DaBaby),Camila Cabello,4960127,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,01.02.20,01.02.20_017
018,WHAT TO DO? (feat. Don Toliver),JACKBOYS,4939870,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,01.02.20,01.02.20_018
019,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4928385,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,01.02.20,01.02.20_019
020,HIGHEST IN THE ROOM,Travis Scott,4863421,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,01.02.20,01.02.20_020
021,Watermelon Sugar,Harry Styles,4811184,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,01.02.20,01.02.20_021
022,GANG GANG,JACKBOYS,4792831,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,01.02.20,01.02.20_022
023,Someone You Loved,Lewis Capaldi,4729716,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,01.02.20,01.02.20_023
024,hot girl bummer,blackbear,4713252,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,01.02.20,01.02.20_024
025,Heartless,The Weeknd,4690204,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,01.02.20,01.02.20_025
026,No Idea,Don Toliver,4660645,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,01.02.20,01.02.20_026
027,Don't Start Now,Dua Lipa,4566814,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,01.02.20,01.02.20_027
028,Memories,Maroon 5,4416365,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,01.02.20,01.02.20_028
029,Lucid Dreams,Juice WRLD,4375968,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,01.02.20,01.02.20_029
030,bad guy,Billie Eilish,4304151,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,01.02.20,01.02.20_030
031,VIBEZ,DaBaby,4091021,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,01.02.20,01.02.20_031
032,Suge,DaBaby,4082244,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,01.02.20,01.02.20_032
033,Robbery,Juice WRLD,4038757,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,01.02.20,01.02.20_033
034,Woah,Lil Baby,4021843,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,01.02.20,01.02.20_034
035,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,3944348,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,01.02.20,01.02.20_035
036,Lose You To Love Me,Selena Gomez,3934852,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,01.02.20,01.02.20_036
037,Ransom,Lil Tecca,3921230,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,01.02.20,01.02.20_037
038,Truth Hurts,Lizzo,3716353,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,01.02.20,01.02.20_038
039,223's (feat. 9lokknine),YNW Melly,3640307,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,01.02.20,01.02.20_039
040,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,3516323,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,01.02.20,01.02.20_040
041,GATTI,JACKBOYS,3379341,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,01.02.20,01.02.20_041
042,Falling,Harry Styles,3373159,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,01.02.20,01.02.20_042
043,Money In The Grave (Drake ft. Rick Ross),Drake,3367045,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,01.02.20,01.02.20_043
044,Señorita,Shawn Mendes,3346681,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,01.02.20,01.02.20_044
045,"10,000 Hours (with Justin Bieber)",Dan + Shay,3298212,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,01.02.20,01.02.20_045
046,Stuck In A Dream (feat. Gunna),Lil Mosey,3291047,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,01.02.20,01.02.20_046
047,No Guidance (feat. Drake),Chris Brown,3280835,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,01.02.20,01.02.20_047
048,Goodbyes (Feat. Young Thug),Post Malone,3228563,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,01.02.20,01.02.20_048
049,Death,Trippie Redd,3140564,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,01.02.20,01.02.20_049
050,MIDDLE CHILD,J. Cole,3021715,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,01.02.20,01.02.20_050
051,Wow.,Post Malone,3019364,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,01.02.20,01.02.20_051
052,Yellow Hearts,Ant Saunders,2927837,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,01.02.20,01.02.20_052
053,All Girls Are The Same,Juice WRLD,2922951,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,01.02.20,01.02.20_053
054,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,2922466,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,01.02.20,01.02.20_054
055,Camelot,NLE Choppa,2876047,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF,01.02.20,01.02.20_055
056,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2851530,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx,01.02.20,01.02.20_056
057,Legends,Juice WRLD,2836434,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,01.02.20,01.02.20_057
058,Start Wit Me (feat. Gunna),Roddy Ricch,2767556,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu,01.02.20,01.02.20_058
059,Lights Up,Harry Styles,2759202,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,01.02.20,01.02.20_059
060,when the party's over,Billie Eilish,2745034,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,01.02.20,01.02.20_060
061,Make No Sense,YoungBoy Never Broke Again,2736384,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I,01.02.20,01.02.20_061
062,Say So,Doja Cat,2732656,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,01.02.20,01.02.20_062
063,Vete,Bad Bunny,2664877,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,01.02.20,01.02.20_063
