,,Position,Position,Position
,,count,min,max
Artist,Track Name,,,
*NSYNC,"Merry Christmas, Happy Holidays",2,97,162
21 Savage,Brand New Draco,1,35,35
21 Savage,Glock In My Lap,3,8,57
21 Savage,Immortal,13,14,165
21 Savage,Intro,1,67,67
21 Savage,Many Men,3,15,186
21 Savage,Mr. Right Now (feat. Drake),3,4,13
21 Savage,My Dawg,1,36,36
21 Savage,No Opp Left Behind,1,45,45
21 Savage,RIP Luv,1,54,54
21 Savage,Rich Nigga Shit (feat. Young Thug),3,13,140
21 Savage,Runnin,3,3,14
21 Savage,Said N Done,1,60,60
21 Savage,Secret (feat. Summer Walker),1,163,163
21 Savage,Slidin,2,16,102
21 Savage,Snitches & Rats (Interlude),1,53,53
21 Savage,Snitches & Rats (feat. Young Nudy),1,37,37
21 Savage,Steppin On Niggas,1,51,51
21 Savage,a lot,12,159,199
24kGoldn,CITY OF ANGELS,18,44,196
24kGoldn,Mood (feat. iann dior),11,2,52
24kGoldn,VALENTINO,20,41,190
5 Seconds of Summer,Easier,1,184,184
5 Seconds of Summer,No Shame,2,61,174
5 Seconds of Summer,Old Me,2,92,124
5 Seconds of Summer,Teeth,5,158,193
5 Seconds of Summer,Wildflower,1,99,99
5 Seconds of Summer,Youngblood,4,186,199
6LACK,Know My Rights (feat. Lil Baby),1,69,69
6ix9ine,GOOBA,17,4,199
6ix9ine,TROLLZ (with Nicki Minaj),4,18,174
A Boogie Wit da Hoodie,Bleed,2,52,139
A Boogie Wit da Hoodie,Cinderella Story,1,175,175
A Boogie Wit da Hoodie,DTB 4 Life,1,198,198
A Boogie Wit da Hoodie,Flood My Wrist (feat. Lil Uzi Vert),1,95,95
A Boogie Wit da Hoodie,King Of My City,4,41,194
A Boogie Wit da Hoodie,Look Back at It,7,161,196
A Boogie Wit da Hoodie,Luv Is Art (feat. Lil Uzi Vert),1,116,116
A Boogie Wit da Hoodie,Me and My Guitar,3,66,157
A Boogie Wit da Hoodie,Might Not Give Up (feat. Young Thug),2,46,174
A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",15,13,151
A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),3,20,155
A Boogie Wit da Hoodie,Stain (feat. DaBaby),1,71,71
A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),36,78,172
A Boogie Wit da Hoodie,Thug Love,1,102,102
A Boogie Wit da Hoodie,Vroom Vroom,1,179,179
AJR,Bang!,7,126,187
ASAP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),2,55,124
Agust D,Daechwita,1,89,89
Alessia Cara,Make It To Christmas,1,189,189
Alexander 23,IDK You Yet,4,163,185
Ali Gatie,It's You,24,64,199
Ali Gatie,What If I Told You That I Love You,12,47,188
Aminé,Compensating (feat. Young Thug),1,183,183
Aminé,Woodlawn,1,100,100
Anderson .Paak,Lockdown,1,181,181
Andy Williams,It's the Most Wonderful Time of the Year,6,8,162
Anitta,Me Gusta (with Cardi B & Myke Towers),1,67,67
Anne-Marie,Birthday,1,186,186
Ant Saunders,Yellow Hearts,15,20,102
Anuel AA,China,5,145,178
Anuel AA,Fútbol & Rumba (feat. Enrique Iglesias),3,113,194
Anuel AA,Hasta Que Dios Diga,7,68,153
Anuel AA,Jangueo,2,156,181
Anuel AA,Keii,1,96,96
Anuel AA,Narcos,2,133,152
Anuel AA,Que Se Joda,1,193,193
Anuel AA,Reggaetonera,3,102,175
Ariana Grande,7 rings,35,57,195
Ariana Grande,Bad To You (with Normani & Nicki Minaj),2,41,96
Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),2,132,188
Ariana Grande,Last Christmas,1,168,168
Ariana Grande,Santa Baby,4,81,156
Ariana Grande,Santa Tell Me,7,13,169
Ariana Grande,Stuck with U (with Justin Bieber),24,3,178
Ariana Grande,boyfriend (with Social House),5,128,174
Ariana Grande,"break up with your girlfriend, i'm bored",1,193,193
Ariana Grande,"thank u, next",14,106,180
Arizona Zervas,FML,9,70,188
Arizona Zervas,ROXANNE,52,1,119
Ashe,Moral of the Story,11,30,124
Ashnikko,Daisy,6,40,111
Ashnikko,STUPID (feat. Yung Baby Tate),2,166,200
Ava Max,Kings & Queens,15,131,197
BENEE,Supalonely,26,23,194
BLACKPINK,Bet You Wanna (feat. Cardi B),3,26,166
BLACKPINK,Crazy Over You,1,100,100
BLACKPINK,How You Like That,9,15,189
BLACKPINK,Ice Cream (with Selena Gomez),8,11,108
BLACKPINK,Love To Hate Me,1,114,114
BLACKPINK,Lovesick Girls,3,27,162
BLACKPINK,Pretty Savage,1,73,73
BLACKPINK,You Never Know,1,146,146
BROCKHAMPTON,SUGAR,30,21,195
